Date,Open,High,Low,Close,Volume,SMA_5,SMA_20,EMA_10,MOM_3,MOM_10,RSI_14,MACD,MACD_Signal,BB_Lower,BB_Upper,OBV
2019-01-14,96.3153,96.4211,95.5183,95.8418,6499661.2743957,96.7578,97.89022000000001,97.16649159553812,-0.16369999999999152,-2.7223999999999933,39.51845599855212,-1.3806121965752567,-1.2845396439408268,94.50554300625477,101.27489699374526,253877376.50923643
2019-01-15,95.9761,97.4044,95.2996,97.3456,5047940.0645849,96.47490000000002,97.67000000000002,97.19905675998574,0.7597000000000094,-1.336199999999991,45.26530096126068,-1.282260315666278,-1.2840837782859171,94.81029981328749,100.52970018671255,258925316.57382134
2019-01-16,97.3456,97.3947,96.1878,96.7408,5546658.8814826,96.62196,97.46759,97.11573734907923,0.14509999999999934,-0.8724000000000132,43.476082379543215,-1.2388374993909679,-1.2750345225069273,94.9898656630136,99.9453143369864,253378657.69233873
2019-01-17,96.576,97.7603,96.5271,97.5545,5164538.4549144,96.81568000000001,97.35092,97.19551237651936,1.7126999999999981,0.8823000000000008,46.53791267170689,-1.1257884268175502,-1.2451853033690519,95.1486137900201,99.55322620997991,258543196.14725313
2019-01-18,98.1917,98.5152,97.5015,98.2897,5758545.8825798,97.15448,97.35239,97.39445558078856,0.9440999999999917,-0.3920999999999992,49.21469344816597,-0.9657392853219164,-1.1892960997596247,95.1474903012214,99.5572896987786,264301742.02983293
2019-01-22,98.1329,98.4466,97.1505,98.1329,5932670.7832807,97.6127,97.33769,97.52871820246335,1.3921000000000134,0.3235000000000099,48.65516638268772,-0.8418473450011703,-1.1198063488079337,95.15919123839704,99.51618876160295,258369071.24655223
2019-01-23,97.9564,98.9565,97.7994,98.9072,5819742.5182139,97.92502,97.396995,97.77935125656091,1.3526999999999987,0.1471000000000089,51.58252758665635,-0.6734197866871767,-1.0305290363837825,95.11254703906936,99.68144296093065,264188813.76476613
2019-01-24,98.5249,98.5249,96.7986,97.7897,5013617.5590707,98.13480000000001,97.55120500000001,97.7812328462771,-0.5,1.7841999999999985,47.38366939519828,-0.6229318730601108,-0.9490096037190482,95.6470105047676,99.45539949523243,259175196.20569542
2019-01-25,98.3681,98.77,97.3847,97.6525,5678450.8559667,98.15440000000001,97.59728000000003,97.75782687422671,-0.48040000000000305,1.0666000000000082,46.879125043580494,-0.5872216059954809,-0.8766520041743348,95.73246108501839,99.46209891498167,253496745.34972873
2019-01-28,97.3162,97.878,96.4604,97.1898,4541591.3041171,97.93442000000002,97.57071500000004,97.65454926073093,-1.7173999999999978,0.5941000000000116,45.13369819887794,-0.589462033725539,-0.8192140100845756,95.69820162541785,99.44322837458222,248955154.04561162
2019-01-29,97.2867,97.8975,96.8957,97.3554,4816612.008073,97.77892000000001,97.51027500000004,97.60015848605258,-0.43429999999999325,1.5135999999999967,45.90991904427705,-0.5712895821325503,-0.7696291244941706,95.69564188716431,99.32490811283576,253771766.05368462
2019-01-30,97.2966,99.3287,96.927,98.9763,5625395.2069145,97.79274000000001,97.52500000000003,97.85036603404302,1.3237999999999914,1.6306999999999903,52.9294692126726,-0.4212389196921009,-0.6999510835337568,95.66610019522307,99.383899804777,259397161.26059914
2019-01-31,99.1135,100.819,98.4269,100.613,6923834.1145494,98.35740000000001,97.67499000000002,98.35266311876248,3.4231999999999942,3.8722000000000065,58.750593812106985,-0.16831445288327984,-0.5936237574036614,95.35838222328279,99.99159777671726,266320995.37514853
